Fiscal Year,County,Region,Type of Allegation,Allegation Count
2022,Terry,1-Lubbock,Emotional Abuse,8
2022,Terry,1-Lubbock,Medical Neglect,10
2022,Terry,1-Lubbock,Neglectful Supervision,129
2022,Terry,1-Lubbock,Physical Abuse,48
2022,Terry,1-Lubbock,Physical Neglect,9
2022,Terry,1-Lubbock,Refusal To Accept Parental Responsibility,3
2022,Terry,1-Lubbock,Sexual Abuse,42
2022,Wheeler,1-Lubbock,Medical Neglect,2
2022,Wheeler,1-Lubbock,Neglectful Supervision,33
2022,Wheeler,1-Lubbock,Physical Abuse,15
2022,Wheeler,1-Lubbock,Physical Neglect,8
2022,Wheeler,1-Lubbock,Sexual Abuse,8
2022,Yoakum,1-Lubbock,Medical Neglect,1
2022,Yoakum,1-Lubbock,Neglectful Supervision,24
2022,Yoakum,1-Lubbock,Physical Abuse,16
2022,Yoakum,1-Lubbock,Physical Neglect,3
2022,Yoakum,1-Lubbock,Sexual Abuse,10
2022,Archer,2-Abilene,Emotional Abuse,1
2022,Archer,2-Abilene,Medical Neglect,4
2022,Archer,2-Abilene,Neglectful Supervision,37
2022,Archer,2-Abilene,Physical Abuse,13
2022,Archer,2-Abilene,Physical Neglect,7
2022,Archer,2-Abilene,Sexual Abuse,22
2022,Baylor,2-Abilene,Medical Neglect,2
2022,Baylor,2-Abilene,Neglectful Supervision,41
2022,Baylor,2-Abilene,Physical Abuse,9
2022,Baylor,2-Abilene,Physical Neglect,10
2022,Baylor,2-Abilene,Sexual Abuse,7
2022,Brown,2-Abilene,Emotional Abuse,23
2022,Brown,2-Abilene,Medical Neglect,35
2022,Brown,2-Abilene,Neglectful Supervision,426
2022,Brown,2-Abilene,Physical Abuse,139
2022,Brown,2-Abilene,Physical Neglect,52
2022,Brown,2-Abilene,Refusal To Accept Parental Responsibility,4
2022,Brown,2-Abilene,Sex Trafficking,1
2022,Brown,2-Abilene,Sexual Abuse,130
2022,Callahan,2-Abilene,Emotional Abuse,18
2022,Callahan,2-Abilene,Medical Neglect,12
2022,Callahan,2-Abilene,Neglectful Supervision,160
2022,Callahan,2-Abilene,Physical Abuse,59
2022,Callahan,2-Abilene,Physical Neglect,30
2022,Callahan,2-Abilene,Refusal To Accept Parental Responsibility,1
2022,Callahan,2-Abilene,Sexual Abuse,45
2022,Clay,2-Abilene,Emotional Abuse,3
2022,Clay,2-Abilene,Medical Neglect,17
2022,Clay,2-Abilene,Neglectful Supervision,118
2022,Clay,2-Abilene,Physical Abuse,29
2022,Clay,2-Abilene,Physical Neglect,25
2022,Clay,2-Abilene,Refusal To Accept Parental Responsibility,2
2022,Clay,2-Abilene,Sexual Abuse,41
2022,Coleman,2-Abilene,Medical Neglect,3
2022,Coleman,2-Abilene,Neglectful Supervision,90
2022,Coleman,2-Abilene,Physical Abuse,32
2022,Coleman,2-Abilene,Physical Neglect,11
2022,Coleman,2-Abilene,Sexual Abuse,19
2022,Comanche,2-Abilene,Emotional Abuse,5
2022,Comanche,2-Abilene,Medical Neglect,9
2022,Comanche,2-Abilene,Neglectful Supervision,147
2022,Comanche,2-Abilene,Physical Abuse,42
2022,Comanche,2-Abilene,Physical Neglect,25
2022,Comanche,2-Abilene,Refusal To Accept Parental Responsibility,4
2022,Comanche,2-Abilene,Sexual Abuse,38
2022,Cottle,2-Abilene,Neglectful Supervision,29
2022,Cottle,2-Abilene,Physical Abuse,1
2022,Cottle,2-Abilene,Physical Neglect,2
2022,Cottle,2-Abilene,Sexual Abuse,12
2022,Eastland,2-Abilene,Emotional Abuse,7
2022,Eastland,2-Abilene,Medical Neglect,13
2022,Eastland,2-Abilene,Neglectful Supervision,168
2022,Eastland,2-Abilene,Physical Abuse,73
2022,Eastland,2-Abilene,Physical Neglect,54
2022,Eastland,2-Abilene,Refusal To Accept Parental Responsibility,2
2022,Eastland,2-Abilene,Sex Trafficking,2
2022,Eastland,2-Abilene,Sexual Abuse,48
2022,Fisher,2-Abilene,Abandonment,2
2022,Fisher,2-Abilene,Emotional Abuse,3
2022,Fisher,2-Abilene,Neglectful Supervision,36
2022,Fisher,2-Abilene,Physical Abuse,10
2022,Fisher,2-Abilene,Physical Neglect,3
2022,Fisher,2-Abilene,Sexual Abuse,17
2022,Foard,2-Abilene,Neglectful Supervision,7
2022,Foard,2-Abilene,Physical Abuse,5
2022,Foard,2-Abilene,Sexual Abuse,4
2022,Hardeman,2-Abilene,Emotional Abuse,5
2022,Hardeman,2-Abilene,Medical Neglect,3
2022,Hardeman,2-Abilene,Neglectful Supervision,37
2022,Hardeman,2-Abilene,Physical Abuse,10
2022,Hardeman,2-Abilene,Physical Neglect,8
2022,Hardeman,2-Abilene,Sexual Abuse,5
2022,Haskell,2-Abilene,Emotional Abuse,2
2022,Haskell,2-Abilene,Medical Neglect,5
2022,Haskell,2-Abilene,Neglectful Supervision,61
2022,Haskell,2-Abilene,Physical Abuse,11
2022,Haskell,2-Abilene,Refusal To Accept Parental Responsibility,2
2022,Haskell,2-Abilene,Sexual Abuse,19
2022,Jack,2-Abilene,Emotional Abuse,7
2022,Jack,2-Abilene,Medical Neglect,6
2022,Jack,2-Abilene,Neglectful Supervision,83
2022,Jack,2-Abilene,Physical Abuse,14
2022,Jack,2-Abilene,Physical Neglect,13
2022,Jack,2-Abilene,Sexual Abuse,29
2022,Jones,2-Abilene,Emotional Abuse,7
2022,Jones,2-Abilene,Medical Neglect,7
2022,Jones,2-Abilene,Neglectful Supervision,133
2022,Jones,2-Abilene,Physical Abuse,37
2022,Jones,2-Abilene,Physical Neglect,21
2022,Jones,2-Abilene,Sexual Abuse,46
2022,Kent,2-Abilene,Emotional Abuse,2
2022,Kent,2-Abilene,Neglectful Supervision,12
2022,Kent,2-Abilene,Physical Abuse,1
2022,Kent,2-Abilene,Sexual Abuse,3
2022,Knox,2-Abilene,Emotional Abuse,3
2022,Knox,2-Abilene,Neglectful Supervision,19
2022,Knox,2-Abilene,Physical Abuse,3
2022,Knox,2-Abilene,Physical Neglect,4
2022,Knox,2-Abilene,Sexual Abuse,16
2022,Mitchell,2-Abilene,Emotional Abuse,3
2022,Mitchell,2-Abilene,Medical Neglect,10
2022,Mitchell,2-Abilene,Neglectful Supervision,80
2022,Mitchell,2-Abilene,Physical Abuse,24
2022,Mitchell,2-Abilene,Physical Neglect,10
2022,Mitchell,2-Abilene,Sexual Abuse,31
2022,Montague,2-Abilene,Emotional Abuse,17
2022,Montague,2-Abilene,Medical Neglect,26
2022,Montague,2-Abilene,Neglectful Supervision,198
2022,Montague,2-Abilene,Physical Abuse,63
2022,Montague,2-Abilene,Physical Neglect,58
2022,Montague,2-Abilene,Refusal To Accept Parental Responsibility,2
2022,Montague,2-Abilene,Sexual Abuse,84
2022,Nolan,2-Abilene,Abandonment,1
2022,Nolan,2-Abilene,Emotional Abuse,9
2022,Nolan,2-Abilene,Medical Neglect,21
2022,Nolan,2-Abilene,Neglectful Supervision,255
2022,Nolan,2-Abilene,Physical Abuse,73
2022,Nolan,2-Abilene,Physical Neglect,29
2022,Nolan,2-Abilene,Refusal To Accept Parental Responsibility,1
2022,Nolan,2-Abilene,Sexual Abuse,66
2022,Runnels,2-Abilene,Emotional Abuse,3
2022,Runnels,2-Abilene,Medical Neglect,2
2022,Runnels,2-Abilene,Neglectful Supervision,99
2022,Runnels,2-Abilene,Physical Abuse,33
2022,Runnels,2-Abilene,Physical Neglect,17
2022,Runnels,2-Abilene,Refusal To Accept Parental Responsibility,1
2022,Runnels,2-Abilene,Sex Trafficking,2
2022,Runnels,2-Abilene,Sexual Abuse,39
2022,Scurry,2-Abilene,Emotional Abuse,7
2022,Scurry,2-Abilene,Medical Neglect,8
2022,Scurry,2-Abilene,Neglectful Supervision,195
2022,Scurry,2-Abilene,Physical Abuse,71
2022,Scurry,2-Abilene,Physical Neglect,31
2022,Scurry,2-Abilene,Refusal To Accept Parental Responsibility,6
2022,Scurry,2-Abilene,Sex Trafficking,1
2022,Scurry,2-Abilene,Sexual Abuse,60
2022,Shackelford,2-Abilene,Emotional Abuse,1
2022,Shackelford,2-Abilene,Medical Neglect,1
2022,Shackelford,2-Abilene,Neglectful Supervision,29
2022,Shackelford,2-Abilene,Physical Abuse,4
2022,Shackelford,2-Abilene,Physical Neglect,3
2022,Shackelford,2-Abilene,Sexual Abuse,7
2022,Stephens,2-Abilene,Emotional Abuse,4
2022,Stephens,2-Abilene,Medical Neglect,5
2022,Stephens,2-Abilene,Neglectful Supervision,82
2022,Stephens,2-Abilene,Physical Abuse,40
2022,Stephens,2-Abilene,Physical Neglect,11
2022,Stephens,2-Abilene,Sexual Abuse,14
2022,Stonewall,2-Abilene,Neglectful Supervision,8
2022,Stonewall,2-Abilene,Physical Abuse,5
2022,Stonewall,2-Abilene,Sexual Abuse,3
2022,Taylor,2-Abilene,Abandonment,4
2022,Taylor,2-Abilene,Emotional Abuse,69
2022,Taylor,2-Abilene,Medical Neglect,121
2022,Taylor,2-Abilene,Neglectful Supervision,2019
2022,Taylor,2-Abilene,Physical Abuse,642
2022,Taylor,2-Abilene,Physical Neglect,237
2022,Taylor,2-Abilene,Refusal To Accept Parental Responsibility,15
2022,Taylor,2-Abilene,Sex Trafficking,8
2022,Taylor,2-Abilene,Sexual Abuse,532
2022,Throckmorton,2-Abilene,Emotional Abuse,1
2022,Throckmorton,2-Abilene,Neglectful Supervision,12
2022,Throckmorton,2-Abilene,Physical Abuse,1
2022,Throckmorton,2-Abilene,Sexual Abuse,3
2022,Wichita,2-Abilene,Abandonment,5
2022,Wichita,2-Abilene,Emotional Abuse,72
2022,Wichita,2-Abilene,Medical Neglect,98
2022,Wichita,2-Abilene,Neglectful Supervision,1488
2022,Wichita,2-Abilene,Physical Abuse,473
2022,Wichita,2-Abilene,Physical Neglect,191
2022,Wichita,2-Abilene,Refusal To Accept Parental Responsibility,18
2022,Wichita,2-Abilene,Sex Trafficking,7
2022,Wichita,2-Abilene,Sexual Abuse,486
2022,Wilbarger,2-Abilene,Abandonment,1
2022,Wilbarger,2-Abilene,Emotional Abuse,7
2022,Wilbarger,2-Abilene,Medical Neglect,2
2022,Wilbarger,2-Abilene,Neglectful Supervision,126
2022,Wilbarger,2-Abilene,Physical Abuse,38
2022,Wilbarger,2-Abilene,Physical Neglect,24
2022,Wilbarger,2-Abilene,Refusal To Accept Parental Responsibility,5
2022,Wilbarger,2-Abilene,Sex Trafficking,1
2022,Wilbarger,2-Abilene,Sexual Abuse,39
2022,Young,2-Abilene,Abandonment,1
2022,Young,2-Abilene,Emotional Abuse,12
2022,Young,2-Abilene,Medical Neglect,8
2022,Young,2-Abilene,Neglectful Supervision,172
2022,Young,2-Abilene,Physical Abuse,60
2022,Young,2-Abilene,Physical Neglect,35
2022,Young,2-Abilene,Refusal To Accept Parental Responsibility,2
2022,Young,2-Abilene,Sex Trafficking,1
2022,Young,2-Abilene,Sexual Abuse,45
2022,Collin,3-Arlington,Abandonment,7
2022,Collin,3-Arlington,Emotional Abuse,309
2022,Collin,3-Arlington,Medical Neglect,381
2022,Collin,3-Arlington,Neglectful Supervision,3474
2022,Collin,3-Arlington,Physical Abuse,1337
2022,Collin,3-Arlington,Physical Neglect,323
2022,Collin,3-Arlington,Refusal To Accept Parental Responsibility,46
2022,Collin,3-Arlington,Sex Trafficking,9
2022,Collin,3-Arlington,Sexual Abuse,1160
2022,Cooke,3-Arlington,Abandonment,2
2022,Cooke,3-Arlington,Emotional Abuse,15
2022,Cooke,3-Arlington,Medical Neglect,26
2022,Cooke,3-Arlington,Neglectful Supervision,344
2022,Cooke,3-Arlington,Physical Abuse,116
2022,Cooke,3-Arlington,Physical Neglect,40
2022,Cooke,3-Arlington,Refusal To Accept Parental Responsibility,4
2022,Cooke,3-Arlington,Sex Trafficking,1
2022,Cooke,3-Arlington,Sexual Abuse,133
2022,Dallas,3-Arlington,Abandonment,76
2022,Dallas,3-Arlington,Emotional Abuse,793
2022,Dallas,3-Arlington,Labor Trafficking,13
2022,Dallas,3-Arlington,Medical Neglect,1123
2022,Dallas,3-Arlington,Neglectful Supervision,15828
2022,Dallas,3-Arlington,Physical Abuse,5323
2022,Dallas,3-Arlington,Physical Neglect,1546
2022,Dallas,3-Arlington,Refusal To Accept Parental Responsibility,217
2022,Dallas,3-Arlington,Sex Trafficking,55
2022,Dallas,3-Arlington,Sexual Abuse,4417
2022,Denton,3-Arlington,Abandonment,15
2022,Denton,3-Arlington,Emotional Abuse,273
2022,Denton,3-Arlington,Labor Trafficking,4
2022,Denton,3-Arlington,Medical Neglect,385
2022,Denton,3-Arlington,Neglectful Supervision,3824
2022,Denton,3-Arlington,Physical Abuse,1460
2022,Denton,3-Arlington,Physical Neglect,363
2022,Denton,3-Arlington,Refusal To Accept Parental Responsibility,42
2022,Denton,3-Arlington,Sex Trafficking,10
2022,Denton,3-Arlington,Sexual Abuse,1236
2022,Ellis,3-Arlington,Abandonment,4
2022,Ellis,3-Arlington,Emotional Abuse,56
2022,Ellis,3-Arlington,Labor Trafficking,2
2022,Ellis,3-Arlington,Medical Neglect,78
2022,Ellis,3-Arlington,Neglectful Supervision,883
2022,Ellis,3-Arlington,Physical Abuse,359
2022,Ellis,3-Arlington,Physical Neglect,101
2022,Ellis,3-Arlington,Refusal To Accept Parental Responsibility,26
2022,Ellis,3-Arlington,Sex Trafficking,7
2022,Ellis,3-Arlington,Sexual Abuse,381
2022,Erath,3-Arlington,Abandonment,2
2022,Erath,3-Arlington,Emotional Abuse,21
2022,Erath,3-Arlington,Labor Trafficking,1
2022,Erath,3-Arlington,Medical Neglect,19
2022,Erath,3-Arlington,Neglectful Supervision,348
2022,Erath,3-Arlington,Physical Abuse,122
2022,Erath,3-Arlington,Physical Neglect,57
2022,Erath,3-Arlington,Refusal To Accept Parental Responsibility,4
2022,Erath,3-Arlington,Sexual Abuse,110
2022,Fannin,3-Arlington,Abandonment,3
2022,Fannin,3-Arlington,Emotional Abuse,22
2022,Fannin,3-Arlington,Labor Trafficking,1
2022,Fannin,3-Arlington,Medical Neglect,22
2022,Fannin,3-Arlington,Neglectful Supervision,250
2022,Fannin,3-Arlington,Physical Abuse,102
2022,Fannin,3-Arlington,Physical Neglect,40
2022,Fannin,3-Arlington,Refusal To Accept Parental Responsibility,1
2022,Fannin,3-Arlington,Sexual Abuse,107
2022,Grayson,3-Arlington,Abandonment,3
2022,Grayson,3-Arlington,Emotional Abuse,50
2022,Grayson,3-Arlington,Medical Neglect,138
2022,Grayson,3-Arlington,Neglectful Supervision,1135
2022,Grayson,3-Arlington,Physical Abuse,391
2022,Grayson,3-Arlington,Physical Neglect,196
2022,Grayson,3-Arlington,Refusal To Accept Parental Responsibility,10
2022,Grayson,3-Arlington,Sex Trafficking,6
2022,Grayson,3-Arlington,Sexual Abuse,420
2022,Hood,3-Arlington,Abandonment,1
2022,Hood,3-Arlington,Emotional Abuse,30
2022,Hood,3-Arlington,Medical Neglect,34
2022,Hood,3-Arlington,Neglectful Supervision,464
2022,Hood,3-Arlington,Physical Abuse,142
2022,Hood,3-Arlington,Physical Neglect,90
2022,Hood,3-Arlington,Refusal To Accept Parental Responsibility,8
2022,Hood,3-Arlington,Sex Trafficking,2
2022,Hood,3-Arlington,Sexual Abuse,172
2022,Hunt,3-Arlington,Abandonment,4
2022,Hunt,3-Arlington,Emotional Abuse,31
